Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Region,Sales_Rep,Status
1001,2024-01-05,C001,P01,2,"$1,200",North,Ali,Completed
1002,01/06/2024,C002,P02,3,500,south,Sara,Completed
1003,2024-01-08,C003,P03,1,$800,NORTH,Omar,Completed
1004,2024/01/12,C004,P04,5,250,East,Lina,Completed
1005,"Jan 15, 2024",C005,P02,2,500,West,Ali,Completed
1006,2024-01-18,C001,P01,1,1200,North,Sara,Completed
1007,2024-01-20,C006,P05,4,$150,East,Omar,Completed
1008,2024-01-25,C007,P03,2,800,West,Lina,Cancelled
1009,2024-02-02,C008,P06,3,$300,North,Ali,Completed
1010,02/05/2024,C002,P02,1,500,South,Sara,Completed
1011,2024-02-10,C009,P07,2,$950,East,Omar,Completed
1012,2024-02-14,C010,P01,1,1200,West,Lina,Completed
1013,2024-02-20,C003,P03,3,800,north,Ali,Completed
1014,2024-02-28,C004,P04,2,250,East,Sara,Completed
1015,2024-03-03,C011,P06,2,300,West,Omar,Completed
1016,2024-03-07,C012,P08,1,"$2,000",North,Lina,Completed
1017,2024-03-12,C001,P01,1,1200,North,Ali,Completed
1018,2024-03-15,C013,P05,6,150,South,Sara,Completed
1019,2024-03-22,C014,P07,1,950,East,Omar,Completed
1020,2024-03-30,C015,P09,2,400,West,Lina,Completed
1020,2024-03-30,C015,P09,2,400,West,Lina,Completed
1021,2024-04-04,C016,P02,2,500,NORTH,Ali,Completed
1022,04/09/2024,C017,P10,1,$75,south,Sara,Completed
1023,2024-04-15,C018,P03,2,800,East,Omar,Completed
1024,2024-04-20,C019,P04,3,250,West,Lina,Completed
1025,2024-04-25,C020,P01,-1,1200,North,Ali,Returned
1026,2024-05-02,C021,P06,4,300,South,Sara,Completed
1027,2024-05-06,C022,P07,2,950,East,Omar,Completed
1028,2024-05-11,C023,P08,1,2000,West,Lina,Completed
1029,2024-05-18,C024,P02,2,500,North,Ali,Completed
1030,2024-05-25,C025,P03,2,800,South,Sara,Completed
1031,2024-06-01,C026,P09,3,400,East,Omar,Completed
1032,2024-06-08,C027,P10,5,75,West,Lina,Completed
1033,2024-06-14,C028,P01,1,"$1,200",North,Ali,Completed
1034,2024-06-20,C029,P06,2,300,South,Sara,Completed
1035,2024-06-28,C030,P07,1,950,East,Omar,Completed
1036,2024-07-03,C031,P08,2,2000,West,Lina,Completed
1037,2024-07-10,C032,P02,2,500,North,Ali,Completed
1038,2024-07-15,C033,P03,1,800,South,Sara,Completed
1039,2024-07-21,C034,P04,4,250,East,Omar,Completed
1040,2024-07-29,C035,P05,3,150,West,Lina,Completed
1041,2024-08-05,C036,P06,2,300,North,Ali,Completed
1042,2024-08-12,C037,P07,1,950,South,Sara,Completed
1043,2024-08-18,C038,P08,1,2000,East,Omar,Completed
1044,2024-08-25,C039,P09,2,400,West,Lina,Completed
1045,2024-09-02,C040,P10,6,75,North,Ali,Completed
1046,2024-09-09,C041,P01,1,1200,South,Sara,Completed
1047,2024-09-16,C042,P02,3,500,East,Omar,Completed
1048,2024-09-23,C043,P03,2,800,West,Lina,Completed
1049,2024-10-01,C044,P04,2,250,North,Ali,Completed
1050,2024-10-08,C045,P05,4,150,South,Sara,Completed
1051,2024-10-15,C046,P06,2,300,East,Omar,Completed
1052,2024-10-22,C047,P07,1,950,West,Lina,Completed
1053,2024-11-03,C048,P08,1,2000,North,Ali,Completed
1054,2024-11-10,C049,P09,2,400,South,Sara,Completed
1055,2024-11-17,C050,P10,5,75,East,Omar,Completed
1056,2024-11-24,C051,P01,1,1200,West,Lina,Completed
1057,2024-12-05,C052,P02,2,500,North,Ali,Completed
1058,2024-12-12,C053,P03,2,800,South,Sara,Completed
1059,2024-12-19,C054,P04,3,250,East,Omar,Completed
1060,2024-12-26,C055,P05,2,150,West,Lina,Completed
